40, 30

18, 20
9, 1
2, 2
11, 15
22, 8
33, 17
18, 28
36, 23
19, 29
30, 25
20, 23
5, 5
39, 15
27, 26
17, 19
37, 25
1, 29
38, 3
21, 22
8, 6
0, 1
25, 0
2, 1
35, 1
33, 15
16, 3
1, 25
1, 20
29, 10
36, 26
11, 26
33, 22
1, 24
15, 18
26, 13
26, 16
16, 23
28, 28
17, 24
4, 24
1, 10
15, 2
33, 10
2, 17
36, 0
33, 7
8, 18
11, 5
2, 16
16, 28
9, 24
6, 6
38, 15
36, 5
11, 10
17, 2
12, 12
14, 18
1, 18
5, 27
31, 10
37, 21
0, 18
17, 3
27, 5
39, 26
19, 0
14, 9
17, 13
16, 8
23, 13
0, 5
18, 7
5, 29
15, 12
8, 28
32, 7
30, 12
38, 9
27, 15
24, 1
13, 5
33, 20
37, 0
15, 13
30, 18
39, 2
25, 7
29, 22
36, 27
24, 16
35, 26
34, 7
0, 4
16, 0
9, 22
31, 14
20, 16
34, 27
18, 29
30, 8
39, 29
30, 16
6, 12
30, 4
9, 4
23, 26
22, 7
6, 15
1, 4
35, 22
7, 8
8, 17
34, 25
36, 2
4, 16
12, 26
8, 12
4, 6
6, 5
